ndc,fei,registrant,country,anda,nda,bla,linkage_method,api_mfr
63187-621,1819171,"Lannett Company, Inc.",US,ANDA-091680,,,ADDRESS_MATCH,
68788-7880,3007373532,Aurobindo Pharma Limited,IN,ANDA-206069,,,SPL_DUNS_FEI,
80425-0485,3002806351,Hikma Pharmaceuticals LLC,JO,ANDA-084122,,,SPL_DUNS_FEI,
80425-0481,3002806351,Hikma Pharmaceuticals LLC,JO,ANDA-080352,,,SPL_DUNS_FEI,
0713-0635,1053439,"Cosette Pharmaceuticals NC Laboratories, LLC",US,ANDA-077401,,,SPL_DUNS_FEI,
50090-7421,3022837118,Hetero Labs Limited,IN,ANDA-214956,,,SPL_DUNS_FEI,
15370-170,3017140477,"LGM Pharma Solutions, LLC",US,ANDA-203166,,,ADDRESS_MATCH,
50090-6999,3004021263,Aurobindo Pharma Limited,IN,ANDA-065308,,,SPL_DUNS_FEI,
63629-2391,1000513191,"Lyne Laboratories, Inc.",US,ANDA-201821,,,SPL_DUNS_FEI,
43547-896,3010014758,APPCO PHARMA LLC,US,ANDA-212931,,,SPL_DUNS_FEI,
43547-897,3010014758,APPCO PHARMA LLC,US,ANDA-212931,,,SPL_DUNS_FEI,
43547-898,3010014758,APPCO PHARMA LLC,US,ANDA-212931,,,SPL_DUNS_FEI,
71610-771,1038197,Prinston Pharmaceutical Inc.,US,ANDA-077856,,,SPL_DUNS_FEI,
67296-2124,3009083745,Mankind Pharma Limited,IN,ANDA-218148,,,SPL_DUNS_FEI,
60219-2056,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-216295,,,SPL_DUNS_FEI,
50090-6680,3004446312,Aurobindo Pharma Limited,IN,ANDA-065334,,,SPL_DUNS_FEI,
60687-266,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-090842,,,SPL_DUNS_FEI,
70518-3291,3004021229,Aurobindo Pharma Limited,IN,ANDA-077739,,,SPL_DUNS_FEI,
71288-166,3008316144,"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",CN,ANDA-208696,,,SPL_DUNS_FEI,
71288-167,3008316144,"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",CN,ANDA-208696,,,SPL_DUNS_FEI,
63629-8753,3002721084,Teva Pharmaceutical Industries Ltd.,IL,ANDA-070541,,,ADDRESS_MATCH,
71335-2188,3012664809,Ajanta Pharma Limited,IN,ANDA-212624,,,SPL_DUNS_FEI,
71335-0395,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-202446,,,SPL_DUNS_FEI,
71335-0395,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-202446,,,SPL_DUNS_FEI,
71335-0566,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-202446,,,SPL_DUNS_FEI,
71335-0566,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-202446,,,SPL_DUNS_FEI,
72162-2380,3005210225,Micro Labs Limited,IN,ANDA-204776,,,SPL_DUNS_FEI,
82982-050,3004021229,Aurobindo Pharma Limited,IN,ANDA-077859,,,SPL_DUNS_FEI,
82804-243,3005029956,"Torrent Pharma, Inc.",IN,ANDA-091479,,,SPL_DUNS_FEI,
67544-529,1000282452,Teva Czech Industries s.r.o.,CZ,ANDA-074569,,,ADDRESS_MATCH,
67544-529,3002721084,Teva Pharmaceutical Industries Ltd.,IL,ANDA-074569,,,ADDRESS_MATCH,
67544-529,3005202697,Teva Pharmaceutical Industries Ltd.,IL,ANDA-074569,,,ADDRESS_MATCH,
67544-529,3002807750,Teva Canada Limited,CA,ANDA-074569,,,ADDRESS_MATCH,
70771-1662,3002984011,Zydus Lifesciences Limited,IN,ANDA-216633,,,SPL_DUNS_FEI,
70771-1663,3002984011,Zydus Lifesciences Limited,IN,ANDA-216633,,,SPL_DUNS_FEI,
70771-1664,3002984011,Zydus Lifesciences Limited,IN,ANDA-216633,,,SPL_DUNS_FEI,
70771-1665,3002984011,Zydus Lifesciences Limited,IN,ANDA-216633,,,SPL_DUNS_FEI,
70771-1666,3002984011,Zydus Lifesciences Limited,IN,ANDA-216633,,,SPL_DUNS_FEI,
70771-1667,3002984011,Zydus Lifesciences Limited,IN,ANDA-216633,,,SPL_DUNS_FEI,
50268-625,3008861605,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-207372,,,SPL_DUNS_FEI,
76420-287,3002807511,LUPIN LIMITED,IN,ANDA-065229,,,SPL_DUNS_FEI,
76420-288,3002807511,LUPIN LIMITED,IN,ANDA-065229,,,SPL_DUNS_FEI,
72865-313,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-215414,,,SPL_DUNS_FEI,
72865-314,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-215414,,,SPL_DUNS_FEI,
72865-315,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-215414,,,SPL_DUNS_FEI,
72865-316,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-215414,,,SPL_DUNS_FEI,
72189-107,3009831799,LUPIN LIMITED,IN,ANDA-209713,,,SPL_DUNS_FEI,
63187-333,3002807742,Teva Canada Limited,CA,ANDA-074151,,,ADDRESS_MATCH,
63187-333,3002807750,Teva Canada Limited,CA,ANDA-074151,,,ADDRESS_MATCH,
68788-7779,3002808376,Apotex Inc.,CA,ANDA-076341,,,SPL_DUNS_FEI,
71610-092,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-077534,,,SPL_DUNS_FEI,
72789-256,3002808385,"Taro Pharmaceuticals U.S.A., Inc.",IL,ANDA-075731,,,SPL_DUNS_FEI,
43128-105,3002807757,"Novocol Pharmaceutical of Canada, Inc.",CA,ANDA-088390,,,SPL_DUNS_FEI,
70518-4310,3002807742,Teva Canada Limited,CA,ANDA-060711,,,ADDRESS_MATCH,
82804-145,3005669319,Encube Ethicals Pvt. Ltd.,IN,ANDA-208848,,,SPL_DUNS_FEI,
51655-390,3005139373,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,US,ANDA-206975,,,SPL_DUNS_FEI,
71335-1480,1317295,SpecGx LLC,US,ANDA-076264,,,SPL_DUNS_FEI,
83634-203,3011860409,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",CN,ANDA-211422,,,ADDRESS_MATCH,
0713-0560,1053439,"Cosette Pharmaceuticals NC Laboratories, LLC",US,ANDA-211764,,,SPL_DUNS_FEI,
50090-7246,3006644152,Indoco Remedies Limited,IN,ANDA-202112,,,SPL_DUNS_FEI,
82260-496,3006974616,Unither Manufacturing LLC,FR,,NDA019463,,SPL_DUNS_FEI,
70518-0368,3003053502,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-076639,,,SPL_DUNS_FEI,
70518-0368,3013151303,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-076639,,,SPL_DUNS_FEI,
63629-9201,3006370524,Alkem Laboratories Limited,IN,ANDA-090836,,,SPL_DUNS_FEI,
68788-7616,3003053502,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-077443,,,SPL_DUNS_FEI,
68788-7616,3013151303,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-077443,,,SPL_DUNS_FEI,
68071-4229,1000113778,Bausch & Lomb Incorporated,US,ANDA-064065,,,SPL_DUNS_FEI,
68071-4229,1810189,Pfizer Inc,US,ANDA-064065,,,SPL_DUNS_FEI,TRUE
80425-0010,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-075927,,,SPL_DUNS_FEI,
80425-0010,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-075927,,,SPL_DUNS_FEI,
70518-2607,3002806523,Sandoz GmbH,AT,ANDA-064082,,,ADDRESS_MATCH,
57664-768,3002806294,ALKALOIDA Vegyeszeti Gyar zartkoruen mukodo Reszvenytarsasag,HU,ANDA-211641,,,SPL_DUNS_FEI,
57664-769,3002806294,ALKALOIDA Vegyeszeti Gyar zartkoruen mukodo Reszvenytarsasag,HU,ANDA-211641,,,SPL_DUNS_FEI,
57664-770,3002806294,ALKALOIDA Vegyeszeti Gyar zartkoruen mukodo Reszvenytarsasag,HU,ANDA-211641,,,SPL_DUNS_FEI,
68071-3261,3004819820,LUPIN LIMITED,IN,ANDA-078296,,,SPL_DUNS_FEI,
63187-779,3008232264,Inventia Healthcare Limited.,IN,ANDA-201991,,,SPL_DUNS_FEI,
42806-185,2431929,"Epic Pharma, LLC",US,ANDA-210532,,,SPL_DUNS_FEI,
50090-2198,3007373532,Aurobindo Pharma Limited,IN,ANDA-090624,,,SPL_DUNS_FEI,
50090-2198,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-090624,,,SPL_DUNS_FEI,
50090-2198,3004021229,Aurobindo Pharma Limited,IN,ANDA-090624,,,SPL_DUNS_FEI,
31722-899,3013944676,Annora Pharma Private Limited,IN,ANDA-208993,,,SPL_DUNS_FEI,
63739-997,1017687,"PAI Holdings, LLC",US,ANDA-204494,,,ADDRESS_MATCH,
47335-219,3002809586,Sun Pharmaceutical Industries Limited,IN,ANDA-090017,,,SPL_DUNS_FEI,
47335-220,3002809586,Sun Pharmaceutical Industries Limited,IN,ANDA-090017,,,SPL_DUNS_FEI,
47335-221,3002809586,Sun Pharmaceutical Industries Limited,IN,ANDA-090017,,,SPL_DUNS_FEI,
71205-625,3007373532,Aurobindo Pharma Limited,IN,ANDA-207152,,,SPL_DUNS_FEI,
70954-484,3012541241,Novitium Pharma LLC,US,ANDA-080157,,,SPL_DUNS_FEI,
13668-581,3005029956,"Torrent Pharma, Inc.",IN,ANDA-212062,,,SPL_DUNS_FEI,
13668-581,3010228235,"Torrent Pharma, Inc.",IN,ANDA-212062,,,SPL_DUNS_FEI,
71335-2621,3013914542,OPTIMUS PHARMA PRIVATE LIMITED,IN,ANDA-217478,,,SPL_DUNS_FEI,
71610-143,3006370533,Alkem Laboratories Limited,IN,ANDA-090858,,,SPL_DUNS_FEI,
71610-143,3006370524,Alkem Laboratories Limited,IN,ANDA-090858,,,SPL_DUNS_FEI,
72189-367,3004446312,Aurobindo Pharma Limited,IN,ANDA-201090,,,SPL_DUNS_FEI,
71335-2223,3009083745,Mankind Pharma Limited,IN,ANDA-215587,,,SPL_DUNS_FEI,
63629-4108,3002721084,Teva Pharmaceutical Industries Ltd.,IL,ANDA-075219,,,ADDRESS_MATCH,
0409-2585,3002806523,Sandoz GmbH,AT,ANDA-065345,,,ADDRESS_MATCH,
51407-832,3005139373,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,US,ANDA-208058,,,SPL_DUNS_FEI,
51407-833,3005139373,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,US,ANDA-208058,,,SPL_DUNS_FEI,
70518-4340,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-077627,,,SPL_DUNS_FEI,
0904-7539,3009083745,Mankind Pharma Limited,IN,ANDA-213864,,,SPL_DUNS_FEI,
71335-1568,3005406526,Hetero Labs Limited,IN,ANDA-091240,,,SPL_DUNS_FEI,
50090-7546,2431929,"Epic Pharma, LLC",US,ANDA-062269,,,SPL_DUNS_FEI,
63629-8732,1717759,Sandoz Inc,US,ANDA-074821,,,ADDRESS_MATCH,
63629-8732,3027620173,Sandoz Private Limited,IN,ANDA-074821,,,ADDRESS_MATCH,
63629-8732,3004944629,Sandoz Private Limited,IN,ANDA-074821,,,ADDRESS_MATCH,
70069-820,3014576629,"Qilu Pharmaceutical Co., Ltd.",CN,ANDA-218021,,,SPL_DUNS_FEI,
0168-0203,2410271,Fougera Pharmaceuticals Inc.,US,ANDA-065067,,,ADDRESS_MATCH,
0168-0201,2410271,Fougera Pharmaceuticals Inc.,US,ANDA-064159,,,ADDRESS_MATCH,
0168-0202,2410271,Fougera Pharmaceuticals Inc.,US,ANDA-064160,,,ADDRESS_MATCH,
52817-820,3012152381,"Saptalis Pharmaceuticals, LLC",US,ANDA-211309,,,SPL_DUNS_FEI,
52817-821,3012152381,"Saptalis Pharmaceuticals, LLC",US,ANDA-211309,,,SPL_DUNS_FEI,
25021-791,3005124189,Indoco Remedies Limited,IN,ANDA-214301,,,ADDRESS_MATCH,
0143-2112,1510690,West-Ward Columbus Inc.,US,ANDA-065095,,,SPL_DUNS_FEI,
0143-2112,1510690,Hikma Pharmaceuticals USA Inc.,US,ANDA-065095,,,SPL_DUNS_FEI,
71335-0425,1819171,"Lannett Company, Inc.",US,ANDA-040230,,,SPL_DUNS_FEI,
70860-126,3002807242,Istituto Biochimico Italiano Giovanni Lorenzini,IT,ANDA-065448,,,ADDRESS_MATCH,
70860-127,3002807242,Istituto Biochimico Italiano Giovanni Lorenzini,IT,ANDA-065448,,,ADDRESS_MATCH,
51862-328,3004090027,Mayne Pharma International Pty Ltd.,AU,ANDA-215775,,,SPL_DUNS_FEI,
51862-329,3004090027,Mayne Pharma International Pty Ltd.,AU,ANDA-215775,,,SPL_DUNS_FEI,
51862-330,3004090027,Mayne Pharma International Pty Ltd.,AU,ANDA-215775,,,SPL_DUNS_FEI,
65841-691,3002984011,Zydus Lifesciences Limited,IN,ANDA-077652,,,SPL_DUNS_FEI,
65841-692,3002984011,Zydus Lifesciences Limited,IN,ANDA-077652,,,SPL_DUNS_FEI,
65841-693,3002984011,Zydus Lifesciences Limited,IN,ANDA-077652,,,SPL_DUNS_FEI,
50090-3422,3007373532,Aurobindo Pharma Limited,IN,ANDA-209838,,,SPL_DUNS_FEI,
63629-8611,2450054,L. Perrigo Company,US,ANDA-075570,,,ADDRESS_MATCH,
43063-645,3004021229,Aurobindo Pharma Limited,IN,ANDA-077731,,,SPL_DUNS_FEI,
72888-468,3008252295,Rubicon Research Limited,IN,ANDA-211953,,,SPL_DUNS_FEI,
62332-181,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-205074,,,SPL_DUNS_FEI,
62332-182,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-205074,,,SPL_DUNS_FEI,
70518-1556,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-203730,,,SPL_DUNS_FEI,
83854-014,3026048557,Abhinav Gorukanti,IN,ANDA-219883,,,SPL_DUNS_FEI,
83854-013,3026048557,Abhinav Gorukanti,IN,ANDA-219883,,,SPL_DUNS_FEI,
83854-015,3026048557,Abhinav Gorukanti,IN,ANDA-219883,,,SPL_DUNS_FEI,
27241-199,3006785788,Ajanta Pharma Limited,IN,ANDA-214391,,,SPL_DUNS_FEI,
27241-200,3006785788,Ajanta Pharma Limited,IN,ANDA-214391,,,SPL_DUNS_FEI,
27241-201,3006785788,Ajanta Pharma Limited,IN,ANDA-214391,,,SPL_DUNS_FEI,
63629-7323,3004554612,Strides Pharma Science Limited,IN,ANDA-091356,,,SPL_DUNS_FEI,
45865-247,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-210893,,,ADDRESS_MATCH,
0486-1134,3017140477,"LGM Pharma Solutions, LLC",US,,,,SPL_DUNS_FEI,
60760-140,3008565058,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078250,,,SPL_DUNS_FEI,
60760-140,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078250,,,SPL_DUNS_FEI,
69097-853,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-091305,,,SPL_DUNS_FEI,
69097-854,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-091305,,,SPL_DUNS_FEI,
69097-855,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-091305,,,SPL_DUNS_FEI,
71610-516,3005430968,Zydus Lifesciences Limited,IN,ANDA-077921,,,SPL_DUNS_FEI,
71610-516,3002984011,Zydus Lifesciences Limited,IN,ANDA-077921,,,SPL_DUNS_FEI,
0904-7451,3010014758,APPCO PHARMA LLC,US,ANDA-209603,,,SPL_DUNS_FEI,
0904-7452,3010014758,APPCO PHARMA LLC,US,ANDA-209603,,,SPL_DUNS_FEI,
0904-7453,3010014758,APPCO PHARMA LLC,US,ANDA-209603,,,SPL_DUNS_FEI,
72162-1355,3008404887,Dexcel Ltd.,IL,ANDA-203713,,,ADDRESS_MATCH,
72162-1355,3002806801,Dexcel Ltd.,IL,ANDA-203713,,,ADDRESS_MATCH,
71872-7093,3005035920,CAPLIN STERILES LIMITED,IN,ANDA-207639,,,SPL_DUNS_FEI,
71335-2120,2127022,Padagis US LLC,US,ANDA-076746,,,ADDRESS_MATCH,
72162-1410,2450054,L. Perrigo Company,US,ANDA-076479,,,ADDRESS_MATCH,
50090-1498,3002806294,ALKALOIDA Vegyeszeti Gyar zartkoruen mukodo Reszvenytarsasag,HU,ANDA-040526,,,SPL_DUNS_FEI,
50090-1498,2523348,"Frontida BioPharm, LLC",US,ANDA-040526,,,SPL_DUNS_FEI,
60760-721,3002806661,Changzhou Pharmaceutical Factory,CN,ANDA-209402,,,ADDRESS_MATCH,
70518-0866,3004813394,Sunrise Pharmaceutical Inc,US,ANDA-204418,,,SPL_DUNS_FEI,
67296-1862,3002960808,Purdue Pharma L.P.,US,ANDA-207276,,,SPL_DUNS_FEI,
67457-197,3002806521,Viatris Inc.,IE,ANDA-091657,,,ADDRESS_MATCH,
65862-596,3004021229,Aurobindo Pharma Limited,IN,ANDA-202409,,,SPL_DUNS_FEI,
71872-7005,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080817,,,SPL_DUNS_FEI,
70518-2614,3006370533,Alkem Laboratories Limited,IN,ANDA-090858,,,SPL_DUNS_FEI,
70518-2614,3006370524,Alkem Laboratories Limited,IN,ANDA-090858,,,SPL_DUNS_FEI,
68071-2890,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-205794,,,SPL_DUNS_FEI,
60687-224,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-077836,,,SPL_DUNS_FEI,
72162-2230,3003950641,"InvaGen Pharmaceuticals, Inc",US,ANDA-090935,,,SPL_DUNS_FEI,
50090-3914,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-090170,,,ADDRESS_MATCH,
43817-421,3007187282,PANACEA BIOTEC PHARMA LIMITED,IN,ANDA-090802,,,SPL_DUNS_FEI,
43817-422,3007187282,PANACEA BIOTEC PHARMA LIMITED,IN,ANDA-090802,,,SPL_DUNS_FEI,
43817-423,3007187282,PANACEA BIOTEC PHARMA LIMITED,IN,ANDA-090802,,,SPL_DUNS_FEI,
80425-0122,1819171,"Lannett Company, Inc.",US,ANDA-204770,,,SPL_DUNS_FEI,
42291-650,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-200275,,,SPL_DUNS_FEI,
68788-8214,3005210225,Micro Labs Limited,IN,ANDA-204355,,,SPL_DUNS_FEI,
0143-9240,3002320821,THYMOORGAN GMBH PHARMAZIE,DE,ANDA-065042,,,ADDRESS_MATCH,
42799-953,3002806801,Dexcel Ltd.,IL,ANDA-076201,,,ADDRESS_MATCH,
60760-646,3007373532,Aurobindo Pharma Limited,IN,ANDA-202038,,,SPL_DUNS_FEI,
59651-447,3011895410,Aurobindo Pharma Limited,IN,ANDA-215137,,,SPL_DUNS_FEI,
59651-448,3011895410,Aurobindo Pharma Limited,IN,ANDA-215137,,,SPL_DUNS_FEI,
59651-449,3011895410,Aurobindo Pharma Limited,IN,ANDA-215137,,,SPL_DUNS_FEI,
55111-533,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-090161,,,SPL_DUNS_FEI,
70518-3329,3006370533,Alkem Laboratories Limited,IN,ANDA-090858,,,SPL_DUNS_FEI,
70518-3329,3006370524,Alkem Laboratories Limited,IN,ANDA-090858,,,SPL_DUNS_FEI,
42192-139,3006691461,"Acella Pharmaceuticals, LLC",US,,,,SPL_DUNS_FEI,
42192-149,3006691461,"Acella Pharmaceuticals, LLC",US,,,,SPL_DUNS_FEI,
0404-9866,1450022,"Fresenius Kabi USA, LLC",US,ANDA-062366,,,SPL_DUNS_FEI,
80830-1672,3017573557,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-216611,,,SPL_DUNS_FEI,
80830-1673,3017573557,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-216611,,,SPL_DUNS_FEI,
80830-1674,3017573557,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-216611,,,SPL_DUNS_FEI,
55150-316,3008461619,EUGIA Pharma Specialities Limited,IN,ANDA-211864,,,SPL_DUNS_FEI,
55150-317,3008461619,EUGIA Pharma Specialities Limited,IN,ANDA-211864,,,SPL_DUNS_FEI,
69238-1616,3010254278,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-211525,,,ADDRESS_MATCH,
69238-1615,3010254278,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-211525,,,ADDRESS_MATCH,
70518-3902,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-206498,,,SPL_DUNS_FEI,
55154-8190,3013326213,"Innogenix, LLC.",US,ANDA-070772,,,ADDRESS_MATCH,
71288-022,3008865184,"Nanjing King-Friend Biochemical Pharmaceutical Co.,Ltd",CN,ANDA-215197,,,SPL_DUNS_FEI,
71288-022,3010625707,"Nanjing King-Friend Biochemical Pharmaceutical Co.,Ltd",CN,ANDA-215197,,,SPL_DUNS_FEI,
71288-023,3008865184,"Nanjing King-Friend Biochemical Pharmaceutical Co.,Ltd",CN,ANDA-215197,,,SPL_DUNS_FEI,
71288-023,3010625707,"Nanjing King-Friend Biochemical Pharmaceutical Co.,Ltd",CN,ANDA-215197,,,SPL_DUNS_FEI,
71335-2712,1019820,Crown Laboratories,US,ANDA-088042,,,SPL_DUNS_FEI,
72162-1430,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-205033,,,ADDRESS_MATCH,
51662-1205,3002807173,"HIKMA FARMACEUTICA (PORTUGAL), S.A.",PT,ANDA-077234,,,SPL_DUNS_FEI,
68071-5283,3010014758,APPCO PHARMA LLC,US,ANDA-205245,,,SPL_DUNS_FEI,
62135-008,3008897678,"Chartwell Pharmaceuticals Congers, LLC.",US,ANDA-074561,,,ADDRESS_MATCH,
62135-937,3008897678,"Chartwell Pharmaceuticals Congers, LLC.",US,ANDA-074562,,,ADDRESS_MATCH,
68788-8568,1000282452,Teva Czech Industries s.r.o.,CZ,ANDA-074132,,,ADDRESS_MATCH,
16729-242,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-205279,,,SPL_DUNS_FEI,
72789-381,3012257735,"Oxford Pharmaceuticals, LLC",US,ANDA-087059,,,SPL_DUNS_FEI,
68788-6825,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-202446,,,SPL_DUNS_FEI,
68788-6825,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-202446,,,SPL_DUNS_FEI,
60687-694,3005210225,Micro Labs Limited,IN,ANDA-212172,,,SPL_DUNS_FEI,
71610-605,3002808376,Apotex Inc.,CA,ANDA-071251,,,ADDRESS_MATCH,
63187-608,1000113778,Bausch & Lomb Incorporated,US,ANDA-064067,,,SPL_DUNS_FEI,
72572-136,3005652193,ONESOURCE SPECIALTY PHARMA LIMITED,IN,ANDA-201024,,,SPL_DUNS_FEI,
46708-352,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-210537,,,SPL_DUNS_FEI,
70069-586,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-217228,,,SPL_DUNS_FEI,
70069-587,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-217228,,,SPL_DUNS_FEI,
53746-204,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-040778,,,SPL_DUNS_FEI,
72162-1693,3006895982,JUBILANT GENERICS LIMITED,IN,ANDA-203253,,,SPL_DUNS_FEI,
71205-640,3009107538,LUPIN LIMITED,IN,ANDA-204132,,,ADDRESS_MATCH,
80425-0028,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-208677,,,SPL_DUNS_FEI,
42708-093,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-077927,,,ADDRESS_MATCH,
70518-4283,3007373532,Aurobindo Pharma Limited,IN,ANDA-218122,,,SPL_DUNS_FEI,
71205-706,3006370524,Alkem Laboratories Limited,IN,ANDA-210559,,,SPL_DUNS_FEI,
63629-2421,3012257735,"Oxford Pharmaceuticals, LLC",US,ANDA-075563,,,SPL_DUNS_FEI,
62756-238,3002809586,Sun Pharmaceutical Industries Limited,IN,ANDA-204668,,,SPL_DUNS_FEI,
62756-239,3002809586,Sun Pharmaceutical Industries Limited,IN,ANDA-204668,,,SPL_DUNS_FEI,
72865-128,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-207418,,,SPL_DUNS_FEI,
72865-129,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-207418,,,SPL_DUNS_FEI,
80425-0109,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-078490,,,SPL_DUNS_FEI,
80005-126,3011603634,"Carnegie Pharmaceuticals, LLC",US,ANDA-219422,,,SPL_DUNS_FEI,
68071-2526,3007938603,Zydus Lifesciences Limited,IN,ANDA-204313,,,SPL_DUNS_FEI,
72189-640,3008252295,Rubicon Research Limited,IN,ANDA-200981,,,SPL_DUNS_FEI,
72162-2120,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-214420,,,SPL_DUNS_FEI,
50090-5915,3019516576,"MSN Laboratories Private Limited,",IN,ANDA-211933,,,SPL_DUNS_FEI,
50090-5915,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-211933,,,SPL_DUNS_FEI,
50090-5915,3011033544,MSN LABORATORIES PRIVATE LIMITED,IN,ANDA-211933,,,SPL_DUNS_FEI,
51956-0001,3008957483,Zydus Lifesciences Limited,IN,ANDA-206318,,,SPL_DUNS_FEI,
51956-0002,3008957483,Zydus Lifesciences Limited,IN,ANDA-206318,,,SPL_DUNS_FEI,
51956-0003,3008957483,Zydus Lifesciences Limited,IN,ANDA-206318,,,SPL_DUNS_FEI,
68071-3726,3005202697,Teva Pharmaceutical Industries Ltd.,IL,ANDA-090199,,,ADDRESS_MATCH,
68788-7524,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-208677,,,SPL_DUNS_FEI,
63323-970,1450022,"Fresenius Kabi USA, LLC",US,ANDA-090233,,,SPL_DUNS_FEI,
50090-7201,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-202210,,,SPL_DUNS_FEI,
67046-1540,3004097901,Granules India Ltd,IN,ANDA-218988,,,SPL_DUNS_FEI,
71205-604,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-075682,,,SPL_DUNS_FEI,
50090-7580,1510690,West-Ward Columbus Inc.,US,ANDA-065095,,,SPL_DUNS_FEI,
50090-7580,1510690,Hikma Pharmaceuticals USA Inc.,US,ANDA-065095,,,SPL_DUNS_FEI,
82868-037,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-202871,,,SPL_DUNS_FEI,
82868-037,3016088083,Alembic Pharmaceuticals Limited,IN,ANDA-202871,,,SPL_DUNS_FEI,
50090-4981,3008897678,"Chartwell Pharmaceuticals Congers, LLC.",US,ANDA-062505,,,ADDRESS_MATCH,
80425-0288,3004082076,"Unichem Laboratories Limited, India",IN,ANDA-090162,,,ADDRESS_MATCH,
80425-0288,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-090162,,,ADDRESS_MATCH,
64380-970,3004554612,Strides Pharma Science Limited,IN,ANDA-207029,,,ADDRESS_MATCH,
64380-970,3012423830,PharmaGend Global Medical Services Pte Ltd.,SG,ANDA-207029,,,ADDRESS_MATCH,
64380-971,3004554612,Strides Pharma Science Limited,IN,ANDA-207029,,,ADDRESS_MATCH,
